,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
241,Macioti P.G.; Aroney E.; Bennachie C.; Fehrenbacher A.E.; Giametta C.; Hoefinger H.; Mai N.; Musto J.,"Macioti, P.G. (56538555800); Aroney, Eurydice (56974250200); Bennachie, Calum (57196487205); Fehrenbacher, Anne E. (56487751600); Giametta, Calogero (56359206400); Hoefinger, Heidi (37032752800); Mai, Nicola (7006749589); Musto, Jennifer (35211306600)",56538555800; 56974250200; 57196487205; 56487751600; 56359206400; 37032752800; 7006749589; 35211306600,"Framing the mother tac: The racialised, sexualised and gendered politics of modern slavery in Australia",2020,Social Sciences,9,11,192,1,19,18.0,4,10.3390/socsci9110192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094668524&doi=10.3390%2fsocsci9110192&partnerID=40&md5=c57f2d7149d33f0f430cf29e4f515289,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85094668524
243,Blackstone N.T.; Norris C.B.; Robbins T.; Jackson B.; Decker Sparks J.L.,"Blackstone, Nicole Tichenor (57215035376); Norris, Catherine Benoit (55907420500); Robbins, Tali (57231161300); Jackson, Bethany (57200913771); Decker Sparks, Jessica L. (57194714929)",57215035376; 55907420500; 57231161300; 57200913771; 57194714929,Risk of forced labour embedded in the US fruit and vegetable supply,2021,Nature Food,2,9,,692,699,7.0,20,10.1038/s43016-021-00339-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113376087&doi=10.1038%2fs43016-021-00339-0&partnerID=40&md5=2880713818505611dcdc4228f558756d,Article,Final,,Scopus,2-s2.0-85113376087
244,Trautrims A.; Gold S.; Touboulic A.; Emberson C.; Carter H.,"Trautrims, Alexander (55439938200); Gold, Stefan (7202072222); Touboulic, Anne (56335870100); Emberson, Caroline (8351971600); Carter, Helen (57220123012)",55439938200; 7202072222; 56335870100; 8351971600; 57220123012,The UK construction and facilities management sector's response to the Modern Slavery Act: An intra-industry initiative against modern slavery,2021,Business Strategy and Development,4,3,,279,293,14.0,21,10.1002/bsd2.158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096996223&doi=10.1002%2fbsd2.158&partnerID=40&md5=7943ccf49b474fb8a653b245e8a2f8c9,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85096996223
245,Sumberg J.; Sabates-Wheeler R.,"Sumberg, James (6701487425); Sabates-Wheeler, Rachel (6508061940)",6701487425; 6508061940,Children’s work in African agriculture: Time for a rethink,2020,Outlook on Agriculture,49,2,,99,102,3.0,7,10.1177/0030727020930330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086233783&doi=10.1177%2f0030727020930330&partnerID=40&md5=3499bf351b4e8a9c4bb57f9307616c25,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85086233783
246,Such E.; Laurent C.; Jaipaul R.; Salway S.,"Such, E. (6507975772); Laurent, C. (57213621086); Jaipaul, R. (57213621809); Salway, S. (6602719934)",6507975772; 57213621086; 57213621809; 6602719934,Modern slavery and public health: a rapid evidence assessment and an emergent public health approach,2020,Public Health,180,,,168,179,11.0,23,10.1016/j.puhe.2019.10.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077927733&doi=10.1016%2fj.puhe.2019.10.018&partnerID=40&md5=1a3c71f663a49d48feb48d5c377ff073,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85077927733
247,Fontes F.P.,"Fontes, Francisco Pereira (57204144970)",57204144970,Soil and Water Conservation technology adoption and labour allocation: Evidence from Ethiopia,2020,World Development,127,,104754,,,,27,10.1016/j.worlddev.2019.104754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075302753&doi=10.1016%2fj.worlddev.2019.104754&partnerID=40&md5=b3dfa655c8650b9f4b6a90d4b5bc5e72,Article,Final,,Scopus,2-s2.0-85075302753
248,Stöckl H.; Fabbri C.; Cook H.; Galez-Davis C.; Grant N.; Lo Y.; Kiss L.; Zimmerman C.,"Stöckl, Heidi (57200232597); Fabbri, Camilla (57201669805); Cook, Harry (57205616787); Galez-Davis, Claire (57464185600); Grant, Naomi (57464185700); Lo, Yuki (57464234500); Kiss, Ligia (35092667300); Zimmerman, Cathy (7103371838)",57200232597; 57201669805; 57205616787; 57464185600; 57464185700; 57464234500; 35092667300; 7103371838,Human trafficking and violence: Findings from the largest global dataset of trafficking survivors,2021,Journal of Migration and Health,4,,100073,,,,13,10.1016/j.jmh.2021.100073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125144756&doi=10.1016%2fj.jmh.2021.100073&partnerID=40&md5=dcf905fc8861535fa58371cde8021b92,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85125144756
249,Ofuoku A.U.; Ovharhe O.J.; Agbamu J.U.,"Ofuoku, Albert Ukaro (13608380400); Ovharhe, Oghenero Joseph (57212560308); Agbamu, Joseph Unuetara (36952580900)",13608380400; 57212560308; 36952580900,Child Labor in Farming Households in the Niger Delta Region of Nigeria,2020,Journal of Developing Societies,36,1,,41,55,14.0,5,10.1177/0169796X19873744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077022205&doi=10.1177%2f0169796X19873744&partnerID=40&md5=77fbcb21aa33091c1d2d1d482666d6d5,Article,Final,,Scopus,2-s2.0-85077022205
251,Mikkelsen M.,"Mikkelsen, Martin (57217121230)",57217121230,SLAVES IN BRONZE AGE SOUTHERN SCANDINAVIA?,2020,Acta Archaeologica,91,1,,147,190,43.0,2,10.1111/j.1600-0390.2020.12225.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086344208&doi=10.1111%2fj.1600-0390.2020.12225.x&partnerID=40&md5=a6e4ade9a2fd2f1b92396cbc840058fa,Article,Final,,Scopus,2-s2.0-85086344208
253,Rybalkina I.G.,"Rybalkina, Inna G. (57213594691)",57213594691,SOCIAL PECULIARITIES OF THE FAMILY PLANNING PROBLEM IN TROPICAL AFRICA,2021,Vostok (Oriens),2021,4,,161,172,11.0,0,10.31857/S086919080016080-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124725786&doi=10.31857%2fS086919080016080-5&partnerID=40&md5=b05d675046a16dcea922304e6c28546c,Article,Final,,Scopus,2-s2.0-85124725786
254,Obi C.; Bartolini F.; Brunori G.; D'Haese M.,"Obi, Chinedu (57203917758); Bartolini, Fabio (56090460000); Brunori, Gianluca (57950785200); D'Haese, Marijke (8251520100)",57203917758; 56090460000; 57950785200; 8251520100,How does international migration impact on rural areas in developing countries? A systematic review,2020,Journal of Rural Studies,80,,,273,290,17.0,9,10.1016/j.jrurstud.2020.09.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092136684&doi=10.1016%2fj.jrurstud.2020.09.016&partnerID=40&md5=6fdaadf96fc4c82ce1d41e9b45a90a8e,Review,Final,,Scopus,2-s2.0-85092136684
255,Kang J.-H.; Hong J.-W.,"Kang, Ji-Hae (56015324900); Hong, Jung-Wook (57220932810)",56015324900; 57220932810,Volunteer translators as ‘committed individuals’ or ‘providers of free labor’? The discursive construction of ‘volunteer translators’ in a commercial online learning platform translation controversy,2020,Meta (Canada),65,1,,51,72,21.0,6,10.7202/1073636AR,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097867609&doi=10.7202%2f1073636AR&partnerID=40&md5=e16d47cb64a4cc0f2697263338b80c5d,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85097867609
256,Das B.,"Das, Banibrata (35760240000)",35760240000,"Assessment of ergonomic exposure, work-related occupational injuries, and prevention: Child work in the brickfield industry in India.",2021,Toxicology and Industrial Health,37,8,,481,495,14.0,4,10.1177/07482337211025366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108380332&doi=10.1177%2f07482337211025366&partnerID=40&md5=a5d77f8324e20bda39669e2df1ee55b3,Article,Final,,Scopus,2-s2.0-85108380332
257,Galaz-Mandakovic D.; Rivera F.,"Galaz-Mandakovic, Damir (57189703429); Rivera, Francisco (54783270400)",57189703429; 54783270400,"Anti-communism, labour exploitation, and racism at the thermoelectric plant of the world’s largest copper mine (Tocopilla, Chile, 1948-1958)",2021,Labor History,62,5-6,,614,631,17.0,3,10.1080/0023656X.2021.1925639,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106245268&doi=10.1080%2f0023656X.2021.1925639&partnerID=40&md5=f3ef718cd872965109939a1ca23e6e1c,Article,Final,,Scopus,2-s2.0-85106245268
258,Baker R.B.; Blanchette J.; Eriksson K.,"Baker, Richard B. (55452084400); Blanchette, John (57213825662); Eriksson, Katherine (55361110600)",55452084400; 57213825662; 55361110600,Long-Run Impacts of Agricultural Shocks on Educational Attainment: Evidence from the Boll Weevil,2020,Journal of Economic History,80,1,,136,174,38.0,14,10.1017/S0022050719000779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077990756&doi=10.1017%2fS0022050719000779&partnerID=40&md5=97a8127c9e7eb95ff4bfe4fb9be78e1b,Article,Final,,Scopus,2-s2.0-85077990756
259,Habib R.R.; Mikati D.; Al-Barathie J.; Younes E.A.; Jawad M.; Asmar K.E.; Ziadee M.,"Habib, Rima R. (12795442800); Mikati, Diana (57193623311); Al-Barathie, Josleen (57267123400); Younes, Elio Abi (57206657227); Jawad, Mohammed (57197210852); Asmar, Khalil El (25221334600); Ziadee, Micheline (55638642600)",12795442800; 57193623311; 57267123400; 57206657227; 57197210852; 25221334600; 55638642600,Work-related injuries among Syrian refugee child workers in the Bekaa Valley of Lebanon: A gender-sensitive analysis,2021,PLoS ONE,16,9 September,e0257330,,,,9,10.1371/journal.pone.0257330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115438809&doi=10.1371%2fjournal.pone.0257330&partnerID=40&md5=d20d698a94e5a4ff0b135d082d858f57,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85115438809
261,Kearney G.D.; Arcury T.A.; Quandt S.A.; Talton J.W.; Arnold T.J.; Sandberg J.C.; Wiggins M.F.; Daniel S.S.,"Kearney, Gregory D. (56999195600); Arcury, Thomas A. (7005890732); Quandt, Sara A. (7005921858); Talton, Jennifer W. (35338060600); Arnold, Taylor J. (57203877920); Sandberg, Joanne C. (54884900200); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)",56999195600; 7005890732; 7005921858; 35338060600; 57203877920; 54884900200; 55539821300; 57202874774,Respiratory health and suspected asthma among hired latinx child farmworkers in rural north carolina,2020,International Journal of Environmental Research and Public Health,17,21,7939,1,12,11.0,9,10.3390/ijerph17217939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095397291&doi=10.3390%2fijerph17217939&partnerID=40&md5=7bcdf2f578f6f5bbd9f81dbd9350fc84,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85095397291
262,Policek N.,"Policek, Nicoletta (56580577000)",56580577000,Foreign minors and forced labour in contemporary Italy; [Małoletni cudzoziemcy i praca przymusowa we współczesnych Włoszech],2021,Archiwum Kryminologii,43,1,,195,222,27.0,0,10.7420/AK2021.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177083904&doi=10.7420%2fAK2021.12&partnerID=40&md5=70f83b849666273838911f8e56850e96,Article,Final,,Scopus,2-s2.0-85177083904
264,Nour M.M.; Field W.E.; Ni J.-Q.; Cheng Y.-H.,"Nour, Mahmoud M (57201793583); Field, Willam E (7006557575); Ni, Ji-Qin (57218228729); Cheng, Yuan-Hsin (57092805200)",57201793583; 7006557575; 57218228729; 57092805200,"Farm-Related Injuries and Fatalities Involving Children, Youth, and Young Workers during Manure Storage, Handling, and Transport",2021,Journal of Agromedicine,26,3,,323,333,10.0,11,10.1080/1059924X.2020.1795034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088563433&doi=10.1080%2f1059924X.2020.1795034&partnerID=40&md5=2296872eb91f6eee803210caaa7b7412,Article,Final,,Scopus,2-s2.0-85088563433
265,Quayson M.; Bai C.; Sarkis J.,"Quayson, Matthew (57217680378); Bai, Chunguang (24485581400); Sarkis, Joseph (57194726123)",57217680378; 24485581400; 57194726123,Technology for Social Good Foundations: A Perspective from the Smallholder Farmer in Sustainable Supply Chains,2021,IEEE Transactions on Engineering Management,68,3,9113288,894,898,4.0,64,10.1109/TEM.2020.2996003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092555793&doi=10.1109%2fTEM.2020.2996003&partnerID=40&md5=40563a85931048344a7e5745ac7a8290,Article,Final,,Scopus,2-s2.0-85092555793
266,Arcury T.A.; Quandt S.A.; Arnold T.J.; Chen H.; Sandberg J.C.; Kearney G.D.; Daniel S.S.,"Arcury, Thomas A. (7005890732); Quandt, Sara A. (7005921858); Arnold, Taylor J. (57203877920); Chen, Haiying (57126555300); Sandberg, Joanne C. (54884900200); Kearney, Gregory D. (56999195600); Daniel, Stephanie S. (57202874774)",7005890732; 7005921858; 57203877920; 57126555300; 54884900200; 56999195600; 57202874774,Work safety culture of Latinx child farmworkers in North Carolina,2020,American Journal of Industrial Medicine,63,10,,917,927,10.0,13,10.1002/ajim.23161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088988772&doi=10.1002%2fajim.23161&partnerID=40&md5=52b15df36927f8b8ef8d3f2dad3175be,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85088988772
269,Daly A.; Hillis A.; Shrestha S.M.; Shrestha B.K.,"Daly, Angela (55360045000); Hillis, Alyson (57216417633); Shrestha, Shubhendra Man (57219147615); Shrestha, Babu Kaji (57219145847)",55360045000; 57216417633; 57219147615; 57219145847,Breaking the child labour cycle through education: issues and impacts of the COVID-19 pandemic on children of in-country seasonal migrant workers in the brick kilns of Nepal,2021,Children's Geographies,19,5,,622,628,6.0,5,10.1080/14733285.2021.1891406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101816838&doi=10.1080%2f14733285.2021.1891406&partnerID=40&md5=88a50190d7450c26856ac87aa38f62ef,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85101816838
270,Ager P.; Herz B.; Brueckner M.,"Ager, Philipp (55859569100); Herz, Benedikt (57191975852); Brueckner, Markus (35321966000)",55859569100; 57191975852; 35321966000,Structural change and the fertility transition,2020,Review of Economics and Statistics,102,4,,806,822,16.0,8,10.1162/rest_a_00851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093869432&doi=10.1162%2frest_a_00851&partnerID=40&md5=d462364d454d29d4b35d21a7a2b45b5e,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85093869432
271,Arnold T.J.; Arcury T.A.; Quandt S.A.; Mora D.C.; Daniel S.S.,"Arnold, Taylor J. (57203877920); Arcury, Thomas A. (7005890732); Quandt, Sara A. (7005921858); Mora, Dana C. (55261840200); Daniel, Stephanie S. (57202874774)",57203877920; 7005890732; 7005921858; 55261840200; 57202874774,Structural Vulnerability and Occupational Injury Among Latinx Child Farmworkers in North Carolina,2021,New Solutions,31,2,,125,140,15.0,11,10.1177/10482911211017556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105964969&doi=10.1177%2f10482911211017556&partnerID=40&md5=904f67d06201319e31f1b912b5a821ed,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85105964969
272,Das B.; Gangopadhyay S.,"Das, Banibrata (35760240000); Gangopadhyay, Somnath (7102451731)",35760240000; 7102451731,"Occupational agricultural injuries among the preadolescent workers of West Bengal, India",2021,International Journal of Adolescent Medicine and Health,33,4,20180178,,,,9,10.1515/ijamh-2018-0178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058824420&doi=10.1515%2fijamh-2018-0178&partnerID=40&md5=394c41e7aba09cc57eda7a7b64147b0c,Review,Final,,Scopus,2-s2.0-85058824420
273,de Souza L.A.F.; Serra C.H.A.,"de Souza, Luís Antônio Francisco (55621255100); Serra, Carlos Henrique Aguiar (56435580700)",55621255100; 56435580700,Quando o Estado de exceção se torna permanente: Reflexões sobre a militarização da segurança pública no Brasil,2020,Tempo Social,32,2,,205,227,22.0,7,10.11606/0103-2070.ts.2020.158668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092359065&doi=10.11606%2f0103-2070.ts.2020.158668&partnerID=40&md5=bda6e0ac0299bdcd291950a2522de122,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85092359065
274,Jubany O.; Lázaro Castellanos R.,"Jubany, Olga (36844160800); Lázaro Castellanos, Rosa (57216918278)",36844160800; 57216918278,The Gender and Racial Construction of the Working Class: Temporary Mobility of Mexican Women Workers to the US and Canada,2021,Gender Issues,38,1,,47,64,17.0,7,10.1007/s12147-020-09258-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085294279&doi=10.1007%2fs12147-020-09258-z&partnerID=40&md5=05306a5debb34bcb67092f47fd509c2f,Article,Final,,Scopus,2-s2.0-85085294279
276,Valverde Contreras B.; Keese A.,"Valverde Contreras, Beatriz (57209730551); Keese, Alexander (23090528500)",57209730551; 23090528500,"Between Violence, Racism and Reform: São Tomé e Príncipe in the Great Depression Years, 1930–7",2021,Journal of Contemporary History,56,2,,243,267,24.0,2,10.1177/0022009420961456,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097564173&doi=10.1177%2f0022009420961456&partnerID=40&md5=0c8ab9f68e9e292d9a9582026d25e755,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85097564173
277,Arcury T.A.; Quandt S.A.; Arnold T.J.; Chen H.; Daniel S.S.,"Arcury, Thomas A. (7005890732); Quandt, Sara A. (7005921858); Arnold, Taylor J. (57203877920); Chen, Haiying (57126555300); Daniel, Stephanie S. (57202874774)",7005890732; 7005921858; 57203877920; 57126555300; 57202874774,Occupational Injuries of Latinx Child Farmworkers in North Carolina: Associations With Work Safety Culture,2020,Journal of Occupational and Environmental Medicine,62,10,,853,858,5.0,6,10.1097/JOM.0000000000001982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092681966&doi=10.1097%2fJOM.0000000000001982&partnerID=40&md5=dbafa15b62e36b510306bea9e981c699,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85092681966
278,Martín-Gamboa M.; Dias A.C.; Arroja L.; Iribarren D.,"Martín-Gamboa, Mario (55892359100); Dias, Ana Cláudia (36190593500); Arroja, Luis (8909000000); Iribarren, Diego (25722122300)",55892359100; 36190593500; 8909000000; 25722122300,A protocol for the definition of supply chains in product social life cycle assessment: application to bioelectricity,2020,Sustainable Energy and Fuels,4,11,,5533,5542,9.0,28,10.1039/d0se00919a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095110163&doi=10.1039%2fd0se00919a&partnerID=40&md5=f44cf99a5e1869ccf8a7c5d9925a5a71,Article,Final,,Scopus,2-s2.0-85095110163
279,Busquet M.; Bosma N.; Hummels H.,"Busquet, Milande (57205628834); Bosma, Niels (13805519100); Hummels, Harry (6603486308)",57205628834; 13805519100; 6603486308,A multidimensional perspective on child labor in the value chain: The case of the cocoa value chain in West Africa,2021,World Development,146,,105601,,,,21,10.1016/j.worlddev.2021.105601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112123522&doi=10.1016%2fj.worlddev.2021.105601&partnerID=40&md5=4a0a88e5242faeb7a470339dddd106e6,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85112123522
280,Herranz E.F.; González M.S.B.,"Herranz, Elena Fraj (57574612800); González, M. Soliña Barreiro (57574438500)",57574612800; 57574438500,The visual strategies of struggle: domestic workers in hybrid filmic forms of confronting reality in Spain (2000-2020); [Las estrategias visuales de la lucha: trabajadoras de la limpieza y del hogar en las formas fílmicas híbridas de enfrentar lo real en España (2000-2020)],2021,Cuadernos.info,,50,,182,206,24.0,0,10.7764/cdi.50.27729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128158743&doi=10.7764%2fcdi.50.27729&partnerID=40&md5=d3768b3522f933cf1f3c1ad756c64669,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85128158743
281,Arcury T.A.; Chen H.; Arnold T.J.; Quandt S.A.; Anderson K.A.; Scott R.P.; Talton J.W.; Daniel S.S.,"Arcury, Thomas A. (7005890732); Chen, Haiying (57126555300); Arnold, Taylor J. (57203877920); Quandt, Sara A. (7005921858); Anderson, Kim A. (57203051239); Scott, Richard P. (57145725300); Talton, Jennifer W. (35338060600); Daniel, Stephanie S. (57202874774)",7005890732; 57126555300; 57203877920; 7005921858; 57203051239; 57145725300; 35338060600; 57202874774,Pesticide exposure among Latinx child farmworkers in North Carolina,2021,American Journal of Industrial Medicine,64,7,,602,619,17.0,8,10.1002/ajim.23258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106420668&doi=10.1002%2fajim.23258&partnerID=40&md5=362b39c2583c36f58a2b02ce4aae3a38,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85106420668
284,Moore A.D.,"Moore, Adam D. (7402762677)",7402762677,"Taxation, Forced Labor, and Theft: Why Taxation is “On a Par” with Forced Labor",2021,Southern Journal of Philosophy,59,3,,362,385,23.0,1,10.1111/sjp.12395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096832832&doi=10.1111%2fsjp.12395&partnerID=40&md5=4d8996052c1573fdc79672ae1c9ed09f,Article,Final,,Scopus,2-s2.0-85096832832
285,Ahmad S.; Huifang W.; Akhtar S.; Maqsood S.; Imran S.,"Ahmad, Shabbir (57683365100); Huifang, Wu (55973823700); Akhtar, Saira (55872033400); Maqsood, Sobia (57219381107); Imran, Shakeel (55947767500)",57683365100; 55973823700; 55872033400; 57219381107; 55947767500,"An analytical study of child labour in the agriculture sector of the rural areas of central Punjab, Pakistan",2020,Sri Lanka Journal of Social Sciences,43,1,,21,37,16.0,7,10.4038/SLJSS.V43I1.7730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092524900&doi=10.4038%2fSLJSS.V43I1.7730&partnerID=40&md5=4cf3e5e33f3d0930a704cbacc99bc579,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85092524900
286,Rupakula R.M.V.; Kumar D.,"Rupakula, Ramana Murthy V. (57579035000); Kumar, Dhananjay (57224687092)",57579035000; 57224687092,IMPACT OF COVID-19 LOCKDOWN ON MIGRANT LABOURERS FROM BIHAR IN HYDERABAD,2021,Journal of Rural Development,40,1,,14,27,13.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128422366&partnerID=40&md5=7f94d9c8c24f5b46413f03544f4651c5,Article,Final,,Scopus,2-s2.0-85128422366
288,Adams J.; Kennedy A.; Cotton J.; Brumby S.,"Adams, Jessie (57215851288); Kennedy, Alison (56492171100); Cotton, Jacqueline (56278190800); Brumby, Susan (26532456500)",57215851288; 56492171100; 56278190800; 26532456500,Child farm-related injury in australia: A review of the literature,2021,International Journal of Environmental Research and Public Health,18,11,6063,,,,10,10.3390/ijerph18116063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107194374&doi=10.3390%2fijerph18116063&partnerID=40&md5=04784214547a79b2069ad95fc8660e17,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85107194374
289,King R.; Lulle A.; Melossi E.,"King, Russell (7404499853); Lulle, Aija (56118286900); Melossi, Emilia (57223867711)",7404499853; 56118286900; 57223867711,New perspectives on the agriculture–migration nexus,2021,Journal of Rural Studies,85,,,52,58,6.0,38,10.1016/j.jrurstud.2021.05.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106270729&doi=10.1016%2fj.jrurstud.2021.05.004&partnerID=40&md5=26293e6e58825f7fbfaf99bb4f7b7af4,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85106270729
290,Cravo T.,"Cravo, Télio (57215102238)",57215102238,"Structure and dynamics of free and unfree labor in road infrastructure in the Brazil Empire: liberated africans, slaves and free (1854-1856); [ESTRUTURA E DINÂMICA DO TRABALHO COMPULSÓRIO E LIVRE NA INFRAESTRUTURA VIÁRIA DO IMPÉRIO DO BRASIL: africanos livres, escravizados e livres (1854-1856)]",2021,Historia (Brazil),40,,e2021060,,,,0,10.1590/1980-4369E2021060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123109038&doi=10.1590%2f1980-4369E2021060&partnerID=40&md5=c10386ebcb7b49981e9100cbf1fb59be,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85123109038
292,Azis A.; Wahyudi R.,"Azis, Avyanthi (56422095000); Wahyudi, Ridwan (57215504349)",56422095000; 57215504349,Imperfect Victims and an Imperfect Protocol: Reflecting on the Trafficking Experiences of Indonesian Migrant Fishermen,2020,Journal of Human Trafficking,6,2,,156,167,11.0,8,10.1080/23322705.2020.1691302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080993757&doi=10.1080%2f23322705.2020.1691302&partnerID=40&md5=045ae3e05f7a10dd29058940f5fd55c4,Article,Final,,Scopus,2-s2.0-85080993757
293,Rice S.; Tyner J.; Munro-Stasiuk M.; Kimsroy S.; Coakley C.,"Rice, Stian (41561887700); Tyner, James (7004260186); Munro-Stasiuk, Mandy (6602834411); Kimsroy, Sokvisal (56335741400); Coakley, Corrine (57210573870)",41561887700; 7004260186; 6602834411; 56335741400; 57210573870,"The hydro-logic of genocide: Remaking land, water, and bodies in democratic Kampuchea, 1975–1979",2020,Area,52,2,,386,393,7.0,2,10.1111/area.12582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070974978&doi=10.1111%2farea.12582&partnerID=40&md5=0ba9f4bf01dbf2a446d0ea21e8d83b2e,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85070974978
295,Wang J.J.,"Wang, Jenny Jing (57218225687)",57218225687,How managers use culture and controls to impose a ‘996’ work regime in China that constitutes modern slavery,2020,Accounting and Finance,60,4,,4331,4359,28.0,43,10.1111/acfi.12682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088380791&doi=10.1111%2facfi.12682&partnerID=40&md5=560aacdfb4f685f9fd889d3d8be7c2de,Article,Final,,Scopus,2-s2.0-85088380791
299,Gao Q.; Qian J.,"Gao, Quan (57201251275); Qian, Junxi (36802430300)",57201251275; 36802430300,"Migrant workers in an era of religious revival: Industrial capitalism, labour and christianity in Shenzhen",2020,China Quarterly,241,,,62,86,24.0,9,10.1017/S0305741019000766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068371653&doi=10.1017%2fS0305741019000766&partnerID=40&md5=d9df44b48695a8c019c331f2db67a55d,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85068371653
301,Habib R.R.; Ziadee M.; Abi Younes E.; Harastani H.; Hamdar L.; Jawad M.; El Asmar K.,"Habib, Rima R. (12795442800); Ziadee, Micheline (55638642600); Abi Younes, Elio (57206657227); Harastani, Houda (58299258900); Hamdar, Layal (57189255419); Jawad, Mohammed (57197210852); El Asmar, Khalil (25221334600)",12795442800; 55638642600; 57206657227; 58299258900; 57189255419; 57197210852; 25221334600,"Displacement, deprivation and hard work among Syrian refugee children in Lebanon",2019,BMJ Global Health,4,1,e001122,,,,30,10.1136/bmjgh-2018-001122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061812820&doi=10.1136%2fbmjgh-2018-001122&partnerID=40&md5=4fab9b2837dbfc2427aa99b3fa489d99,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85061812820
